Model,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted
Random Forest,0.6466666666666666,0.2762984789183419,0.2784692823177705,0.27704769851202893,0.654193584771393,0.6466666666666666,0.6503570945162935
Logistic Regression,0.6133333333333333,0.2685108700401029,0.26567066605137674,0.2659547669472423,0.6471338496140933,0.6133333333333334,0.6294769661499293
Support Vector Machine,0.6293333333333333,0.2628652806165211,0.26216827845883245,0.25727972080999595,0.6492080131818408,0.6293333333333333,0.6377182898917676
