Model,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted
Random Forest Tuned,0.6706666666666666,0.28687099336280064,0.2775760250931295,0.27739642380729124,0.6576016619427363,0.6706666666666666,0.6617399467726631
Logistic Regression Tuned,0.6133333333333333,0.2685108700401029,0.26567066605137674,0.2659547669472423,0.6471338496140933,0.6133333333333334,0.6294769661499293
Support Vector Machine Tuned,0.5933333333333334,0.26355135703539956,0.26585333025688357,0.25902621561579897,0.6475413793456347,0.5933333333333334,0.6180948764521934
