Model,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weigthed,Recall_Weigthed,F1_Weigthed
Random Forest,0.6373333333333333,0.28286839323746177,0.2933640941470713,0.286442926831051,0.6566039281652638,0.6373333333333333,0.6465420953639138
Logistic Regression,0.616,0.25534352179380126,0.2633527612156942,0.2562413995440785,0.6406589160189533,0.616,0.6273370049382845
Support Vector Machine,0.6106666666666667,0.26725541038021194,0.2773377660168375,0.268067665291435,0.6457693556793801,0.6106666666666667,0.6270197646461826
